"FileName","TotalRowsInFile","VariableName","VariableLabel","DataType","ValueLabels"
"GovernanceSurvey.sav",100,"Q28_11","If you had a concern about your child’s school transportation, who
would you approach to discuss the issue? (check all that apply). - Selected Choice A member of provincial parliament","haven_labelled","1=A member of provincial parliament"
"GovernanceSurvey.sav",100,"Q28_12","If you had a concern about your child’s school transportation, who
would you approach to discuss the issue? (check all that apply). - Selected Choice Other:","haven_labelled","1=Other:"
"GovernanceSurvey.sav",100,"Q28_12_TEXT","If you had a concern about your child’s school transportation, who
would you approach to discuss the issue? (check all that apply). - Other: - Text","character",""
"GovernanceSurvey.sav",100,"Q29_1","If you had a concern
about the upkeep of a local school (e.g. uncut grass, a ripped flag, a sidewalk
not shoveled etc.). Who would you approach to discuss this issue? - Selected Choice No one","haven_labelled","1=No one"
"GovernanceSurvey.sav",100,"Q29_4","If you had a concern
about the upkeep of a local school (e.g. uncut grass, a ripped flag, a sidewalk
not shoveled etc.). Who would you approach to discuss this issue? - Selected Choice A teacher","haven_labelled","1=A teacher"
"GovernanceSurvey.sav",100,"Q29_5","If you had a concern
about the upkeep of a local school (e.g. uncut grass, a ripped flag, a sidewalk
not shoveled etc.). Who would you approach to discuss this issue? - Selected Choice A school secretary","haven_labelled","1=A school secretary"
"GovernanceSurvey.sav",100,"Q29_6","If you had a concern
about the upkeep of a local school (e.g. uncut grass, a ripped flag, a sidewalk
not shoveled etc.). Who would you approach to discuss this issue? - Selected Choice A vice principal","haven_labelled","1=A vice principal"
"GovernanceSurvey.sav",100,"Q29_7","If you had a concern
about the upkeep of a local school (e.g. uncut grass, a ripped flag, a sidewalk
not shoveled etc.). Who would you approach to discuss this issue? - Selected Choice The school principal","haven_labelled","1=The school principal"
"GovernanceSurvey.sav",100,"Q29_8","If you had a concern
about the upkeep of a local school (e.g. uncut grass, a ripped flag, a sidewalk
not shoveled etc.). Who would you approach to discuss this issue? - Selected Choice A superintendent","haven_labelled","1=A superintendent"
"GovernanceSurvey.sav",100,"Q29_9","If you had a concern
about the upkeep of a local school (e.g. uncut grass, a ripped flag, a sidewalk
not shoveled etc.). Who would you approach to discuss this issue? - Selected Choice The Director of Education","haven_labelled","1=The Director of Education"
